References,Location,Sample number,Family,Species,Leaf life-span,Habitat,Photosynthetic pathway,Tissue,Extraction method,Solvent,Latitude (ºN),Longitude (ºE),Elevation (m),c.n.C27,c.n.C29,c.n.C31,c.n.C33,c.n.C35,d.n.C27,d.n.C29,d.n.C31,d.n.C33,d.n.C35
"Kristen et al., 2010",South Africa,13,,Digitaria sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 99:1,,,,371,282,204,439,200,,,,,
"Magill et al., 2019",Tanzania,,Poaceae,Chloris sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-20.3,-21.8,-20.1,-20.7,
"Magill et al., 2019",Tanzania,,Poaceae,Chloris sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-20.6,-20.0,-19.6,-20.1,
"Magill et al., 2019",Tanzania,,Poaceae,Chloris sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-21.0,-23.8,-22.4,-22.9,
"Magill et al., 2019",Tanzania,,Poaceae,Cynodon sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-20.1,-22.2,-21.2,-21.9,
"Magill et al., 2019",Tanzania,,Poaceae,Cynodon sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-19.8,-21.7,-20.1,-20.4,
"Magill et al., 2019",Tanzania,,Poaceae,Eragrostis sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-20.0,-22.8,-20.8,-21.4,
"Magill et al., 2019",Tanzania,,Poaceae,Eragrostis sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-19.9,-22.6,-20.8,-21.1,
"Magill et al., 2019",Tanzania,,Poaceae,Sporobolus sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-20.0,-22.2,-20.8,-21.2,
"Magill et al., 2019",Tanzania,,Poaceae,Sporobolus sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,,,-20.6,-20.0,
"Magill et al., 2019",Tanzania,,Poaceae,Sporobolus sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-21.1,-23.0,-22.1,-22.3,
"Magill et al., 2019",Tanzania,,Poaceae,Sporobolus sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-21.0,-22.8,-22.1,-22.6,
"Magill et al., 2019",Tanzania,,Poaceae,Themeda triandra,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-20.9,-22.7,-21.6,-22.0,
"Magill et al., 2019",Tanzania,,Poaceae,Brachiaria erucitormis,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-21.9,-20.4,-20.9,-20.3,
"Magill et al., 2019",Tanzania,,Poaceae,Digitaria sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-21.9,-23.2,-22.7,-23.0,
"Magill et al., 2019",Tanzania,,Poaceae,Digitaria sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-21.5,-23.2,-22.5,-23.1,
"Magill et al., 2019",Tanzania,,Poaceae,Digitaria sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-19.2,-19.4,-20.0,-22.2,
"Magill et al., 2019",Tanzania,,Poaceae,Pennisetum sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-18.7,-21.3,-19.3,-19.6,
"Magill et al., 2019",Tanzania,,Poaceae,Pennisetum sp.,,GR,C4,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-20.8,-23.4,-21.9,-22.2,
"Magill et al., 2019",Tanzania,,Anacardiaceae,Sclerocarya birrea,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-28.4,-28.7,-31.3,-34.8,
"Magill et al., 2019",Tanzania,,Burseraceae,Commiphora glaucescens,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-30.4,-30.9,-30.1,-30.1,
"Magill et al., 2019",Tanzania,,Burseraceae,Commiphora merkeri,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-36,-37.7,-37.7,-36.3,
"Magill et al., 2019",Tanzania,,Capparaceae,Boscia foetida,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,,-34.3,-30.9,-32.8,
"Magill et al., 2019",Tanzania,,Combretaceae,Combretum apiculatum,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-28.9,-30.3,-32.4,-34.1,
"Magill et al., 2019",Tanzania,,Combretaceae,Combretum imberbe,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-29.9,-32.1,-33.1,,
"Magill et al., 2019",Tanzania,,Combretaceae,Terminalia prunioides,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-31.8,-33,-35.2,,
"Magill et al., 2019",Tanzania,,Fabaceae,Colophospermum mopane,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-29.3,-30.1,-30.6,-30.9,
"Magill et al., 2019",Tanzania,,Fabaceae,Colophospermum mopane,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,,-31.9,-32.3,-30.4,
"Magill et al., 2019",Tanzania,,Fabaceae,Acacia robusta,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-31.9,-33.8,-34.3,,
"Magill et al., 2019",Tanzania,,Fabaceae,Acacia senegal,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-34.5,-32.3,-34.9,-35.2,
"Magill et al., 2019",Tanzania,,Fabaceae,Acacia tortillis,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-34.7,-33.5,-35.4,,
"Magill et al., 2019",Tanzania,,Fabaceae,Leucaena leucocephala,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-32.4,-34.9,-33.6,,
"Magill et al., 2019",Tanzania,,Loranthaceae,Tapinanthus sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-37.1,-37.3,-35.7,,
"Magill et al., 2019",Tanzania,,Malvaceae,Adansonia digitata,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-35.3,-36.0,-36.0,-37.0,
"Magill et al., 2019",Tanzania,,Moraceae,Morus alba,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-35.5,-35.5,-37.4,-38.1,
"Magill et al., 2019",Tanzania,,Rhamnaceae,Ziziphus mucronata,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-32.6,-30.9,-33.8,-34.4,
"Magill et al., 2019",Tanzania,,Rhamnaceae,Ziziphus spinachristi,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-32.3,-32.3,-35.0,-35.4,
"Magill et al., 2019",Tanzania,,Tamaricaceae,Tamarix usneoides,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-28.9,-28.1,-27.4,,
"Magill et al., 2019",Tanzania,,Combretaceae,Terminalia brachystemma,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-32.8,-31.1,-29.3,,
"Magill et al., 2019",Tanzania,,Cyperaceae,Cyperus denudatus,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-32.4,-32.9,-32.8,-31.2,
"Magill et al., 2019",Tanzania,,Cyperaceae,Cyperus marginatus,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-32.6,-32.7,-32.5,-30.9,
"Magill et al., 2019",Tanzania,,Cyperaceae,Cyperus sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,,-34.6,-33.3,-33.6,
"Magill et al., 2019",Tanzania,,Cyperaceae,Cyperus sp.,,SV,C3,Leaves,ASE ,DCM/MeOH 85:15,,,,,,,,,-35.2,-36.3,-35.4,,
